date,avg_hourly_earnings
2015-01-01,23.58
2015-02-01,23.5
2015-03-01,23.41
2015-04-01,23.65
2015-05-01,23.64
2015-06-01,23.64
2015-07-01,23.64
2015-08-01,23.54
2015-09-01,23.63
2015-10-01,23.51
2015-11-01,23.66
2015-12-01,23.56
2016-01-01,23.73
2016-02-01,23.74
2016-03-01,23.94
2016-04-01,23.66
2016-05-01,23.7
2016-06-01,23.64
2016-07-01,23.84
2016-08-01,24.05
2016-09-01,23.71
2016-10-01,24.13
2016-11-01,24.13
2016-12-01,24.1
2017-01-01,24.03
2017-02-01,24.1
2017-03-01,24.17
2017-04-01,24.58
2017-05-01,24.27
2017-06-01,24.35
2017-07-01,24.14
2017-08-01,24.11
2017-09-01,24.39
2017-10-01,24.31
2017-11-01,24.4
2017-12-01,24.47
2018-01-01,24.79
2018-02-01,24.76
2018-03-01,24.97
2018-04-01,24.76
2018-05-01,24.8
2018-06-01,24.96
2018-07-01,25.13
2018-08-01,25.23
2018-09-01,25.37
2018-10-01,25.31
2018-11-01,25.41
2018-12-01,25.42
2019-01-01,25.36
2019-02-01,25.57
2019-03-01,25.39
2019-04-01,25.61
2019-05-01,25.72
2019-06-01,25.77
2019-07-01,25.84
2019-08-01,25.82
2019-09-01,25.67
2019-10-01,26.0
2019-11-01,26.02
2019-12-01,26.21
2020-01-01,26.22
2020-02-01,26.22
2020-03-01,26.64
2020-04-01,27.21
2020-05-01,27.25
2020-06-01,27.22
2020-07-01,27.12
2020-08-01,27.27
2020-09-01,27.12
2020-10-01,27.23
2020-11-01,27.14
2020-12-01,27.28
2021-01-01,27.72
2021-02-01,27.79
2021-03-01,27.38
2021-04-01,27.41
2021-05-01,27.58
2021-06-01,27.36
2021-07-01,27.63
2021-08-01,27.67
2021-09-01,27.58
2021-10-01,27.66
2021-11-01,27.85
2021-12-01,28.06
2022-01-01,28.12
2022-02-01,28.07
2022-03-01,28.49
2022-04-01,28.35
2022-05-01,28.33
2022-06-01,28.61
2022-07-01,28.53
2022-08-01,28.68
2022-09-01,28.93
2022-10-01,28.99
2022-11-01,29.22
2022-12-01,29.23
2023-01-01,29.24
2023-02-01,29.29
2023-03-01,29.44
2023-04-01,29.52
2023-05-01,29.65
2023-06-01,29.71
2023-07-01,29.93
2023-08-01,29.72
2023-09-01,29.89
2023-10-01,30.01
2023-11-01,29.92
2023-12-01,29.86
2024-01-01,30.14
2024-02-01,30.42
2024-03-01,30.33
2024-04-01,30.59
2024-05-01,30.7
2024-06-01,30.86
2024-07-01,30.89
2024-08-01,31.19
2024-09-01,31.21
2024-10-01,32.0
2024-11-01,31.18
2024-12-01,30.89
2025-01-01,31.26
2025-02-01,31.28
2025-03-01,31.22
2025-04-01,31.54
2025-05-01,31.67
2025-06-01,31.57
2025-07-01,31.98
2025-08-01,31.96
2025-09-01,32.11
2025-10-01,32.37
